AvailabilityZone,AvailabilityZoneId,AvailableIpAddressCount,CidrBlock,DefaultForAz,MapPublicIpOnLaunch,MapCustomerOwnedIpOnLaunch,State,SubnetId,VpcId,OwnerId,AssignIpv6AddressOnCreation,Ipv6CidrBlockAssociationSet,SubnetArn
us-east-1d,use1-az2,27,10.205.7.192/27,FALSE,FALSE,FALSE,available,subnet-03d16385b96cb1f43,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-03d16385b96cb1f43
us-east-1a,use1-az4,27,10.203.5.32/27,FALSE,FALSE,FALSE,available,subnet-4eb24c38,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-4eb24c38
us-east-1a,use1-az4,59,10.203.62.64/26,FALSE,FALSE,FALSE,available,subnet-f880f28e,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-f880f28e
us-east-1b,use1-az6,26,10.205.7.96/27,FALSE,FALSE,FALSE,available,subnet-4f004d12,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-4f004d12
us-east-1e,use1-az3,478,10.203.22.0/23,FALSE,FALSE,FALSE,available,subnet-c8371ff5,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-c8371ff5
us-east-1a,use1-az4,232,10.205.3.0/24,FALSE,FALSE,FALSE,available,subnet-2a12f55c,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-2a12f55c
us-east-1a,use1-az4,27,10.205.5.160/27,FALSE,FALSE,FALSE,available,subnet-739abc04,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-739abc04
us-east-1b,use1-az6,26,10.203.10.96/27,FALSE,FALSE,FALSE,available,subnet-61f6203b,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-61f6203b
us-east-1a,use1-az4,11,10.203.1.112/28,FALSE,FALSE,FALSE,available,subnet-a57547ec,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-a57547ec
us-east-1a,use1-az4,13,10.203.3.128/27,FALSE,FALSE,FALSE,available,subnet-6cfd131a,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-6cfd131a
